"create_date","update_date","coherence","geom","height","lat","lon","ordering","geom_4326","periodic_properties","old_scatterer_id","scatterer_id"
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.59","0101000020110F0000FF6A7115F6A63C415A7A8FD3C62C5341","5.9","41.09651","16.868116",939399027,"0101000020E61000006422A5D93CDE304055DE8E705A8C4440","{""g"": {""a"": 5.6558, ""v"": 0.5, ""an"": 0.1463}, ""ly"": {""a"": 2.8339, ""v"": 0.606, ""an"": 0.0746}}",1190194675,711266109
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.64","0101000020110F00006B28769BA9A63C4183639700CA2C5341","33.7","41.096596","16.867429",924234200,"0101000020E61000001C9AB2D30FDE30405376FA415D8C4440","{""g"": {""a"": 3.2754, ""v"": 0.0, ""an"": 0.0834}, ""ly"": {""a"": 2.0386, ""v"": -0.4792, ""an"": 0.0537}}",1190194680,711266104
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.74","0101000020110F00009DCA80558EA63C41D830A925CB2C5341","36.8","41.096627","16.867184",1437484811,"0101000020E61000004E9D47C5FFDD30408E7406465E8C4440","{""g"": {""a"": 2.8993, ""v"": 0.0, ""an"": 0.0735}, ""ly"": {""a"": 2.8993, ""v"": 1.6636, ""an"": 0.0764}}",1190194686,711266098
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.92","0101000020110F00004B97DD137CA63C41332431ECCB2C5341","43.1","41.096648","16.86702",1427570436,"0101000020E610000059FAD005F5DD3040A69C2FF65E8C4440","{""g"": {""a"": 1.9543, ""v"": 0.0, ""an"": 0.0485}, ""ly"": {""a"": 0.1244, ""v"": 3.5615, ""an"": 0.0033}}",1190194692,711266092
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.95","0101000020110F0000BEEED7307DA63C41EDF3BCE2CB2C5341","39.2","41.096647","16.86703",1174462803,"0101000020E6100000A0A696ADF5DD3040D520CCED5E8C4440","{""g"": {""a"": 3.0218, ""v"": 0.0, ""an"": 0.0767}, ""ly"": {""a"": 1.1664, ""v"": 2.9554, ""an"": 0.0307}}",1190194698,711266086
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.97","0101000020110F0000FED652317EA63C41B0C348D9CB2C5341","35.3","41.096646","16.867039",454758969,"0101000020E6100000465B9544F6DD304005A568E55E8C4440","{""g"": {""a"": 1.9843, ""v"": 0.0, ""an"": 0.0493}, ""ly"": {""a"": 0.5375, ""v"": 0.9227, ""an"": 0.0142}}",1190194702,711266082
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.8","0101000020110F00002282BAFA82A63C416CA28FA0CB2C5341","29","41.09664","16.867082",634531763,"0101000020E610000045F30016F9DD304023BE13B35E8C4440","{""g"": {""a"": 3.25, ""v"": -0.5, ""an"": 0.0828}, ""ly"": {""a"": 2.1436, ""v"": -0.1936, ""an"": 0.0565}}",1190194710,711266074
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.58","0101000020110F0000E53FE3F67AA63C41B88419FFCB2C5341","28.2","41.09665","16.86701",111660488,"0101000020E6100000124E0B5EF4DD30404694F6065F8C4440","{""g"": {""a"": 7.8281, ""v"": -1.0, ""an"": 0.2037}, ""ly"": {""a"": 7.8281, ""v"": -6.5821, ""an"": 0.2061}}",1190194716,711266068
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.56","0101000020110F000024CD9591A7A53C41E5D607DCD42C5341","14.1","41.09689","16.865111",2128525644,"0101000020E6100000EC681CEA77DD30409CA73AE4668C4440","{""g"": {""a"": 6.5565, ""v"": -0.5, ""an"": 0.1701}, ""ly"": {""a"": 4.9666, ""v"": -3.0532, ""an"": 0.1308}}",1190194876,711265908
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.7","0101000020110F0000ADC29CD75EA43C41CF0A58A2E22C5341","43.4","41.097263","16.862158",1276565748,"0101000020E61000001AFCFD62B6DC3040300E2E1D738C4440","{""g"": {""a"": 6.9619, ""v"": -0.5, ""an"": 0.1808}, ""ly"": {""a"": 2.2185, ""v"": -6.7724, ""an"": 0.0584}}",1190194985,711265801
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.62","0101000020110F0000682C34B10EA43C414269A7FEE52C5341","83.2","41.097354","16.861438",1290612147,"0101000020E61000001A88653387DC304041118B18768C4440","{""g"": {""a"": 16.1148, ""v"": 0.5, ""an"": 0.4226}, ""ly"": {""a"": 2.8991, ""v"": 0.222, ""an"": 0.0763}}",1190194989,711265797
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.68","0101000020110F000057AE80D218A43C41EDD6348DE52C5341","69.8","41.097342","16.861529",816639654,"0101000020E61000003B8E1F2A8DDC30407C43E1B3758C4440","{""g"": {""a"": 12.7452, ""v"": 1.0, ""an"": 0.3336}, ""ly"": {""a"": 6.5549, ""v"": 2.2037, ""an"": 0.1726}}",1190194994,711265792
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.86","0101000020110F0000608B548121A43C4110EA1E38E52C5341","60.7","41.097333","16.861607",1481990667,"0101000020E61000003201BF4692DC304029E96168758C4440","{""g"": {""a"": 4.2982, ""v"": 0.5, ""an"": 0.1104}, ""ly"": {""a"": 3.6455, ""v"": -0.7668, ""an"": 0.0960}}",1190194999,711265787
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.57","0101000020110F00001FC14DD722A43C41A37C3625E52C5341","53.5","41.097331","16.861619",636771715,"0101000020E6100000BB9C121093DC304088F19A57758C4440","{""g"": {""a"": 12.1632, ""v"": -0.5, ""an"": 0.3182}, ""ly"": {""a"": 3.1562, ""v"": 0.0609, ""an"": 0.0831}}",1190195004,711265782
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.79","0101000020110F0000906947E80AA43C41F67BEC2DE62C5341","23","41.097359","16.861404",1535871099,"0101000020E6100000C2A4F8F884DC3040527C7C42768C4440","{""g"": {""a"": 6.9337, ""v"": 0.0, ""an"": 0.1801}, ""ly"": {""a"": 1.1311, ""v"": -0.3959, ""an"": 0.0298}}",1190195067,711265721
